headline,tag,date
"stimulus checks and other coronavirus relief hindered by dated technology and rocky government rollout, some small-business owners got $0, while lenders got billions in fees, schumer, senate democrats demand small business loan data, top up this small-business rescue fund now, johnson: let's get it done | news",__label__economy,2020-04-18
"trump's new guidelines for states are aimed at reopening parts of us, lifting coronavirus restrictions, pence says states have enough covid-19 tests to start phase 1 of white house recovery plan, no plan in sight: test troubles cloud trump recovery effort, trump's coronavirus reopening plan has big holes, health experts say",__label__economy,2020-04-18
"california governor outlines plan to reopen in conjunction with west coast states, new coronavirus testing site heading to stanislaus county | local coronavirus updates, california governor orders paid sick leave for food workers, is gavin newsom the most underrated governor in the country right now?, california senators frustrated by few answers, tech glitches in virtual hearing on coronavirus spending",__label__economy,2020-04-18
"will coronavirus change your financial goals?, 4 smart things to do with your coronavirus stimulus check, this is how i'm handling my investments during the coronavirus crisis, what should you do with your extra money during the covid-19 crisis?",__label__economy,2020-04-18
"gop congressman says letting more americans die of coronavirus is lesser of two evils compared to economy tanking, indiana congressman's comments on covid-19 policy draw backlash, indiana congressman faces backlash over comments on pandemic, says people 'misused' what he said, exclusive: trey hollingsworth clarifies comments that sending americans back to work is lesser of two evils, republican congressman trey hollingsworth says americans should return to work despite coronavirus risk, calling it ""the lesser of these two evils""",__label__economy,2020-04-18
"'hit by a hurricane': 22m out of work in us as coronavirus takes heavy economic toll, everything we know about cares act expanded unemployment benefits, will new unemployment benefits outlast the coronavirus recession?, they filed for unemployment last month. they haven't seen a dime., what are state workshare programs?",__label__economy,2020-04-18
"‘economic suicide:’ backlash grows against coronavirus restrictions in nc, coronavirus in nc - april 18 updates, we need to get back to work in north carolina, number of coronavirus cases in north carolina passes 6,040; here’s a county-by-county breakdown of cases in the piedmont triad",__label__economy,2020-04-18
"airlines are issuing billions of dollars in vouchers — but can you still get a cash refund for coronavirus-related flight cancellations?, airlines withholding $10b in cash from customers, lawmakers say, delta sued over refunds for canceled flights, us senators call on airlines to issue $10b in passenger refunds, senators accuse airlines of holding billions in customer funds",__label__economy,2020-04-18
the stock market is rising on hope for a pharma solution to coronavirus — here's how close we are,__label__economy,2020-04-19
economy faces grueling road to recovery from coronavirus | thehill,__label__economy,2020-04-19
what will the stock market look like in a post-coronavirus world? the bulls are hoping history repeats itself,__label__economy,2020-04-19
there is no panacea for the coronavirus economy,__label__economy,2020-04-19
"bridging divides, most agree on economic outlook: it’s bleak",__label__economy,2020-04-19
scenes of protests across the country demanding states reopen the economy amid coronavirus pandemic,__label__economy,2020-04-19
coronavirus crisis underlines weak spots in u.s. economic system,__label__economy,2020-04-19
"coronavirus stimulus checks up to $1,200: see if you're eligible for a payment",__label__economy,2020-04-19
are we overreacting to the coronavirus? let’s do the math,__label__economy,2020-04-19
"dozens of coronavirus antibody tests on the market were never vetted by the fda, leading to accuracy concerns",__label__economy,2020-04-19
"beware a new wave of populism, born out of coronavirus-induced economic inequity",__label__economy,2020-04-19
stocks rally after talk of reopening economy: live updates,__label__economy,2020-04-19
the coronavirus pandemic will likely leave a lasting legacy on retail: fewer department stores,__label__economy,2020-04-19
some states ease restrictions as protestors call for reopening economy,__label__economy,2020-04-19
"coronavirus creates a market of ‘haves and have-nots,’ with the dow posting its best 2-week run in 82 years amid 22 million job losses",__label__economy,2020-04-19
how the coronavirus and retail closures are accelerating the rise of amazon,__label__economy,2020-04-19
coronavirus has destroyed the myth of the deficit,__label__economy,2020-04-19
"as coronavirus restrictions drag on, americans shift online spending from stockpiling to entertainment",__label__economy,2020-04-19
coronavirus live updates: donald trump announces plan to reopen economy; small biz stimulus fund goes bust; optimism from new york,__label__economy,2020-04-19
this is where all 50 states stand on reopening,__label__economy,2020-04-19
live coronavirus news and updates,__label__economy,2020-04-19
"more americans fear lifting coronavirus restrictions too soon, wsj/nbc poll says",__label__economy,2020-04-19
trump was too focused on the economy to fight the coronavirus,__label__economy,2020-04-19
china's wet markets are not what some people think they are,__label__economy,2020-04-19
"fannie mae: home sales will decline by 15% in 2020 due to coronavirus, but what will happen to property prices?",__label__economy,2020-04-19
live updates: governors say trump administration must step up coronavirus testing; northam blasts ‘delusional’ claims,__label__economy,2020-04-19
"demand for rural homes shows 'profound, psychological change' due to coronavirus, redfin ceo says",__label__economy,2020-04-19
"with broad, random tests for antibodies, germany seeks path out of lockdown",__label__economy,2020-04-19
andrew cuomo wants to restart new york's economy — if testing expands,__label__economy,2020-04-19
when is the right time to reopen the us economy? our panelists' verdict,__label__economy,2020-04-19
"a timeline to normality, stock market exuberance, and a c-suite reading list - business insider",__label__economy,2020-04-19
unemployment permeates the economy during the coronavirus pandemic,__label__economy,2020-04-19
the us economy can't reopen without widespread coronavirus testing. getting there will take a lot of work and money,__label__economy,2020-04-19
stirrings of unrest around the world could portend turmoil as economies collapse,__label__economy,2020-04-19
"nearly 100,000 eu citizens remain stranded overseas due to pandemic – as it happened",__label__economy,2020-04-19
europe slowly emerges from coronavirus lockdown,__label__economy,2020-04-19
the economic data is about to get weird,__label__economy,2020-04-19
"5 things to know for april 17: coronavirus, economy, employment, election, supplies",__label__economy,2020-04-19
how the economy will look after the coronavirus pandemic,__label__economy,2020-04-19
"trump is frustrated and 'chomping at the bit' to reopen america and the economy, 'delusional,' 'absolutely false': governors cry foul on trump testing claims, for charlie kirk, conservative activist, the coronavirus is a cudgel, even trump’s best lackey can’t defend him, trump is asking us to play russian roulette with our lives",__label__economy,2020-04-19
"in new poll, 60 percent support keeping stay-at-home restrictions to fight coronavirus, us presidential race: is joe biden’s ideal running mate a woman?, how the obamas could easily win eight more years in the white house, biden has won president obama’s endorsement, but it may have come too late | charlie gerow",__label__economy,2020-04-19
"with china's economy on life support, it's time to turn off the ventilator, trump's trade policy under fire amid scramble for virus supplies | thehill",__label__economy,2020-04-19
"man who warned of the coronavirus crisis months ago says ‘gut’ tells him ‘a 50% or deeper decline,’ in stock market from the february top likely, dow futures soar 700 points as investors pin hope on gilead coronavirus treatment and u.s. reopening",__label__economy,2020-04-19
"trump’s two horrifying plans for dealing with the coronavirus, trump guidelines for reopening u.s. economy: darcy cartoon",__label__economy,2020-04-19
"polis hints colorado on track to partially open economy this month, protesters descend on colorado capitol to oppose coronavirus restrictions, colorado governor can't declare rent moratorium, but readers have ideas, george brauchler: the arbitrary rule closing some colorado businesses – but not others – must be fixed",__label__economy,2020-04-19
"behind on testing, texas tries to be first to reopen, this is how texans reacted to schools being closed for the academic year, more than half of gov. greg abbott’s coronavirus panel on reopening texas are campaign donors, gov. abbott’s plan to reopen the texas economy strikes the right notes, some states are taking small steps to reopen. here's what they're doing.",__label__economy,2020-04-19
"protesters rally against restrictions as some states set timelines to end stay-at-home orders, us governors feel heat to reopen from protesters, president, movie theaters are included in the white house's plans to reopen america, rational americans already understand that our president is mentally ill. will democrats ever speak truth to power?, andrew mccarthy: trump threatens congress — can he force them to adjourn?",__label__economy,2020-04-19
"coronavirus live updates: us death toll surpasses 40,000, cuomo says ny is 'past the high point' of cases, cuomo: 'aggressive' coronavirus antibody testing to start in ny in coming days, new york's mask mandate takes effect, data shows new york's coronavirus outbreak 'past the high point': cuomo, checkbooks are opening for these bookstores - news from southeastern connecticut",__label__economy,2020-04-19
"trump adviser stephen moore says economy 'may have turned a corner', according to trump advisor stephen moore, stay-at-home order protesters are the 'modern-day rosa parks', stephen moore needs to read a book on rosa parks, stephen moore on economy: 'we may have turned a corner' | thehill",__label__economy,2020-04-19
"trump's big show of opening the economy will hide the real story, editorial: cutting who funding now is dangerous, who, allies lament trump cut to us funding, trump administration officials warned against halting funding to who, leaked memo shows, trump gives governors 3-phase plan to reopen economy",__label__economy,2020-04-19
"why china's economy will recover from coronavirus faster than the u.s., china suffers worst economic drop since '70s in virus battle, china's economy in worst downturn since '60s in coronavirus battle, post covid, there'll be a new world disorder, finally kicking the gdp habit",__label__economy,2020-04-19
"as u.s. coronavirus fatality rate rises to 5 percent, experts are still trying to understand how deadly this virus is, virus's true fatality rate remains unknown",__label__economy,2020-04-19
"sweden says controversial covid-19 strategy is proving effective, coronavirus: stockholm could have 'herd immunity' by next month, swedish health chief claims, sweden claims coronavirus success after keeping country open, sweden could have 'herd immunity' by next month, claims its infectious diseases chief, will sweden's social distancing-lite work?",__label__economy,2020-04-19
"a treatment for the coronavirus would be priceless — and worth about 5,000 points in the dow jones industrial average, stock market update: dow, sand;p 500 rejoice after us plans to restart the economy | bitcoin shoots past the $7,100 mark, us: wall street ends week on high note, dow closes up 3%",__label__economy,2020-04-19
"experts say it may be time for grocery stores to ban customers from coming inside, walmart makes face masks mandatory for workers amid coronavirus, grocery stores demand first responder status for their workers, local union aims to protect grocery workers",__label__economy,2020-04-19
"germany to reopen stores in first step toward post-virus era, germany is reopening stores in first step toward post-virus era",__label__economy,2020-04-19
"buffett partner munger calls coronavirus recession ‘the worst typhoon that’s ever happened,’ says ceos too ‘frozen’ to ask for a bailout, 3 stocks warren buffett wishes he could buy, when buffett's phone stops ringing -- wsj, charlie munger: ‘the phone is not ringing off the hook’, should you follow warren buffett by selling airline and bank stocks?",__label__economy,2020-04-19
"why china is losing the coronavirus narrative, gop lawmakers introduce bill to allow americans to sue china over coronavirus, china might try to take taiwan, how donald trump should make china pay for coronavirus, china is not our friend",__label__economy,2020-04-19
"dow jumps 700 points on hope for a coronavirus treatment, closes at highest level since march, congressman calls for sec investigation into leak about possible coronavirus drug, the story of remdesivir, gilead’s potential ‘coronacure’ can’t save the u.s. economy from doom",__label__economy,2020-04-19
"pence says reopening economy safely critical to ensure 'cure isn't worse than the disease', woodruff to pence on covid-19: ""how many lives do you believe were lost as a result of the delay by this administration?"", pence: united states will ramp up coronavirus testing amid reopening efforts",__label__economy,2020-04-19
"treasury secretary says economy will rebound in months: 'i definitely don't think it will be years' | thehill, mnuchin predicts u.s. economy will rebound in months — not years, mnuchin says putting trump's name on coronavirus stimulus checks was his idea, secretary mnuchin claims putting trump's signature on stimulus checks was his idea, not the president's",__label__economy,2020-04-19
"mayor kenney urges trump to provide emergency aid; pa. will not see ‘one grand reopening,’ officials say; stat, mayor kenney joins other u.s. mayors writing to president trump, voicing concern about emergency federal aid",__label__economy,2020-04-19
"us explores possibility that coronavirus spread started in chinese lab, not a market, laboratory in wuhan breaks silence to deny claims that the coronavirus originated there, why china will likely avoid liability in spread of coronavirus pandemic | thehill, notes from the 560: the china problem with corona",__label__economy,2020-04-19
"can africa's healthcare system cope with coronavirus pandemic?, african researchers should develop vaccines; not testing work of others, coronavirus pandemic driving tech solutions in sub-saharan africa, a pandemic-driven food crisis in africa can be prevented",__label__economy,2020-04-19
"coronavirus: future connectivity 'vital for economic recovery', coronavirus outbreaks identified in 53 care homes in northern ireland, coronavirus: one more death in northern ireland, lisa smyth: public has a right to know the full story of true toll on elderly in northern ireland, coronavirus updates: one person dies and 159 new cases reported",__label__economy,2020-04-19
"why contact tracers are key to unlocking economy | thehill, do you qualify to be a coronavirus contact tracer? here’s a massachusetts job posting, meet the 'contact tracers': group of workers vital to prevent coronavirus resurgence in louisiana",__label__economy,2020-04-19
"trump says stock market thinks he’s done well against virus, trump says stock market thinks he's done well against virus, trump says stock market thinks he's done well against virus",__label__economy,2020-04-19
"coronavirus costs won't blow hole in german budget, minister says, germany may rein in coronavirus debt if economy improves - finance minister, germany signals more help for struggling businesses, workers, germany may rein in coronavirus debt if economy improves: finance minister, corona crisis in germany: majority in favor of making masks mandatory in public",__label__economy,2020-04-19
"mnuchin, pelosi 'very close' to a deal on second round of small business loans, house speaker nancy pelosi warns trump may put us in 'further danger' during coronavirus crisis, nancy pelosi’s hypocrisy comes at a real cost to small businesses, steve levy: coronavirus relief – shame on pelosi, democrats for holding up aid for small businesses",__label__economy,2020-04-19
"daily coronavirus updates: hospital cases in connecticut continue to decrease slightly; governors name seven-s, lamont sued over mask order; its unconstitutional suit claims, nursing home workers, owners describe heavy toll of virus, as stamford’s coronavirus death count spikes, a glimmer of hope, covid-19: icymi - here's when masks or cloth face coverings are required to be worn in ct",__label__economy,2020-04-19
these markets could see the sharpest drop in home prices during coronavirus pandemic,__label__economy,2020-04-20
stock market investors should pay attention to baffling coronavirus data from boston,__label__economy,2020-04-20
"world news updates: coronavirus figures soar in turkey, amid signs the reality is even worse",__label__economy,2020-04-20
coronavirus: these charts track how soon your state may reopen its economy,__label__economy,2020-04-20
‘i don’t think the new york that we left will be back for some years’,__label__economy,2020-04-20
"stock market could retest lows once investors see coronavirus toll on earnings, says mark mobius",__label__economy,2020-04-20
'road map' to recovery report: 20 million coronavirus tests per day needed to fully open economy,__label__economy,2020-04-20
"coronavirus live updates: georgia governor says some businesses can reopen, california town to test every resident",__label__economy,2020-04-20
"unlike with the great recession, the sky’s the limit on washington spending to save the economy from coronavirus. here’s why.",__label__economy,2020-04-20
coronavirus-fighting hiv drug kaletra emerges on russian black market,__label__economy,2020-04-20
coronavirus crisis underlines weak spots in u.s. economic system,__label__economy,2020-04-20
"stock market news live updates: stocks fall, oil crashes into negative territory as energy demand concerns flare",__label__economy,2020-04-20
mohamed el-erian sees us economy contracting up to 14% this year due to coronavirus crisis,__label__economy,2020-04-20
"bridging divides, most agree on economic outlook: it’s bleak",__label__economy,2020-04-20
"us markets haven't priced in a 'significant second wave' of coronavirus, says citi private bank",__label__economy,2020-04-20
"man who warned of the coronavirus crisis months ago says ‘gut’ tells him ‘a 50% or deeper decline,’ in stock market from the february top likely",__label__economy,2020-04-20
stirrings of unrest around the world could portend turmoil as economies collapse,__label__economy,2020-04-20
scenes of protests across the country demanding states reopen the economy amid coronavirus pandemic,__label__economy,2020-04-20
are we overreacting to the coronavirus? let’s do the math,__label__economy,2020-04-20
u.s. oil prices plunge into negative territory: live markets updates,__label__economy,2020-04-20
protesters rally against restrictions as some states set timelines to end stay-at-home orders,__label__economy,2020-04-20
coronavirus creates biggest economic uncertainty in decades,__label__economy,2020-04-20
coronavirus unemployment: bay area layoff plans double in seven days,__label__economy,2020-04-20
"live updates: most americans oppose protests against coronavirus restrictions, poll shows; oil prices drop below $0",__label__economy,2020-04-20
the coronavirus economy is rolling over truckers,__label__economy,2020-04-20
5 ways coronavirus could change your next home purchase,__label__economy,2020-04-20
how to survive the coronavirus markets,__label__economy,2020-04-20
"high school seniors should take next year off in light of the coronavirus, college professor says",__label__economy,2020-04-20
philadelphia's big new hotels face coronavirus economy and deep debt,__label__economy,2020-04-20
"coronavirus creates a market of ‘haves and have-nots,’ with the dow posting its best 2-week run in 82 years amid 22 million job losses",__label__economy,2020-04-20
"as u.s. coronavirus fatality rate rises to 5 percent, experts are still trying to understand how deadly this virus is",__label__economy,2020-04-20
"with broad, random tests for antibodies, germany seeks path out of lockdown",__label__economy,2020-04-20
"have $5,000? then buy these top stocks on any coronavirus weakness",__label__economy,2020-04-20
"5 things to know for april 17: coronavirus, economy, employment, election, supplies",__label__economy,2020-04-20
trump money machine overcomes coronavirus in march,__label__economy,2020-04-20
oil prices dip below zero as producers forced to pay to dispose of excess,__label__economy,2020-04-20
"an oil futures contract expiring tuesday went negative in bizarre move showing a demand collapse, american oil crashes below $0 a barrel -- a record low, oil drops below $0. yes, $0., oil plunges to lowest level on record amid weak demand",__label__economy,2020-04-20
"coronavirus and reopening: governors say they lack tests as trump administration says supply adequate, trump announces coronavirus testing milestone, says ppp stimulus deal imminent, trump is looking for a civil war. his followers are only too happy to oblige, impeachment taught trump all the wrong lessons",__label__economy,2020-04-20
"what will the stock market look like in a post-coronavirus world? the bulls are hoping history repeats itself, dow jones plunges because we may never have a coronavirus vaccine",__label__economy,2020-04-20
"coronavirus stimulus checks up to $1,200: find out if you're eligible for the payment, i’m retired and claim social security — do i still get the $1,200 stimulus check?, coronavirus stimulus checks up to $1,200: find out if you're eligible for a payment",__label__economy,2020-04-20
"here's when all 50 states plan to reopen after coronavirus restrictions | thehill, yahoo news/yougov coronavirus poll: most americans reject anti-lockdown protests, protesters push for faster reopenings even as us coronavirus death toll passes 40,000, coronavirus live updates: georgia to reopen businesses friday as u.s. deaths top 40,000",__label__economy,2020-04-20
"gov. wolf says pennsylvania economy will gradually start to reopen may 8, pennsylvania's stay-at-home order will be in effect until may 8, gov. wolf says, gov. wolf eases rules for online car sales, construction, liquor store curbside pickup, protesters rally at pennsylvania capitol, partisanship is more deadly than the coronavirus | editorial",__label__economy,2020-04-20
"commentary: california needs to reassess stay-at-home orders to prevent an economic tragedy, newsom to protesters: practice social distancing while expressing free speech, coronavirus california: gov. newsom to provide further details for reopening california's economy on wednesday, can gavin newsom lead california through the coronavirus pandemic?, california secures over 15000 hotel rooms for homeless during coronavirus pandemic, newsom says",__label__economy,2020-04-20
"behind on testing, texas tries to be first to reopen, strike force: houston-area leaders to aid in reopening texas economy, governor orders state parks reopened, texas parks and; wildlife says day-use only, texas medical association supports gov. abbott's gradual, science-based approach to reopen texas economy",__label__economy,2020-04-20
"local doctor voices concerns about phoenix rally to reopen arizona economy, coronavirus restriction protesters descend on arizona capitol for rally, will gov. ducey cave in to protesters (and donald trump) and reopen arizona too soon?, protesters of arizona stay-at-home orders to hold rally",__label__economy,2020-04-20
"us coronavirus death toll tops 40,000 as researchers call for more testing before reopening economy, a harvard plan to use massive covid-19 testing to reopen the economy, us needs to conduct 20 million coronavirus tests per day to reopen fully, harvard report says | thehill, coronavirus testing: rhode island is the only state that is testing enough to reopen, according to a harvard, the three key ideas at stake for a post-coronavirus future",__label__economy,2020-04-20
"bipartisan house caucus unveils proposal for reopening economy amid coronavirus, bipartisan breakthrough? pols unveil 'back to work' plan for reopening economy with emphasis on mass testing, bipartisan group says federal government should help with mortgage and rent holiday during crisis, problem solvers propose bipartisan benchmarks for reopening economy",__label__economy,2020-04-20
"senate has no deal on the next coronavirus relief bill, but sets up possible tuesday vote, coronavirus relief package stalls just short of a deal, congress, trump administration near deal on coronavirus aid to small businesses, liz peek: coronavirus reopening – democrats resisting for this reason, steve levy: coronavirus relief – shame on pelosi, democrats for holding up aid for small businesses",__label__economy,2020-04-20
"treasury says economic impact paper checks are being sent out, problems tracking your stimulus check and setting up direct deposit? 9 reasons why, coronavirus stimulus checks: what to know about mail delivery, north dakota us attorney's office warns taxpayers of covid-19 stimulus check scams, irs stimulus tracking tool functional, some americans still waiting on payments",__label__economy,2020-04-20
"can investors trust the stock market rally?, stocks tank as oil falls below zero for first time ever, oil price goes negative as demand collapses; stocks dip, market's worst is behind us: 5 top tech stocks to tap rally, stocks - u.s. futures slump amid protests over reopening",__label__economy,2020-04-20
"economy coronavirus severs nepal's economic lifeline, nrna appeals government to bring back stranded nepalis, “survive 2020, revive in 2021 and thrive in 2022”, we will restart economic activities once the situation is under control: pm oli, nc urges govt to help stranded persons reach home safely",__label__economy,2020-04-20
"united airlines posts $2.1 billion loss on coronavirus hit, seeks more federal aid, coronavirus hits airlines as they report earnings and prepare for layoffs next fall, united airlines warns of $2.1 billion loss and revenue miss, to receive up to $9.5 billion under cares act",__label__economy,2020-04-20
"state parks reopen monday, first phase to reopen texas economy begins during covid-19 pandemic, central texas businesses say executive order reopening texas does little for them, ‘reopening’ of texas starts monday morning",__label__economy,2020-04-20
"kentucky reports highest coronavirus infection increase after a week of protests to reopen state, for black kentuckians, covid-19 is another reminder of structural inequities., letters to the editor: kentucky is not southern; beshear has made mistakes",__label__economy,2020-04-20
"dozens of coronavirus antibody tests on the market were never vetted by the fda, leading to accuracy concerns, new york launches antibody tests for 3,000 people randomly selected at grocery stores, covid-19 antibody test, seen as key to reopening country, does not yet deliver, antibody tests could be key to reopening the country. here's how they work.",__label__economy,2020-04-20
"bigger checks? relief for states? what could be in the next coronavirus bill, did the trump administration ignore early coronavirus warnings?",__label__economy,2020-04-20
"imf says india's growth rate could top 7% in 2021 if the coronavirus outbreak is brought under control, imf may need 'exceptional measures' to facilitate pandemic response: georgieva, imf should not be politicized | daily sabah, a global crisis like no other needs a global response like no other",__label__economy,2020-04-20
"los angeles mayor eric garcetti addresses economic impact of covid-19: “we’re only in the first battle”, los angeles mayor eric garcetti announces furlough plan for city workers, ‘this is the worst it’s ever been’: l.a. mayor announces city worker furloughs during state of the city address, los angeles mayor announces furloughs for city workers",__label__economy,2020-04-20
"disney stops paying 100000 workers to save $500m a month, coronavirus: disney stops paying 100,000 workers during crisis, disney is in ‘the eye of the storm’ — analyst warns parks may not open until january, we rank our favorite disney parks attractions - is yours included?, oped: why the disney college program loss is affecting so many",__label__economy,2020-04-20
"trump's big show of opening the economy will hide the real story, bill gates has a big problem with trump’s ‘dangerous’ decision to defund the world health organization, trump gives governors 3-phase plan to reopen economy, trump has a point – the who has failed, united states has ‘passed the peak’ on new coronavirus cases, says donald trump",__label__economy,2020-04-20
