headlines,content,date,headlines_en,content_en
renée houdt haar kinderen thuis van school uit angst voor corona,"hoewel de scholen na weken coronasluiting deze week weer begonnen zijn, houdt renée van mildert haar kinderen thuis. noraa (5) en aj (9) kunnen niet naar ...",2020-05-15,renée keep her children home from school for fear of corona,"although the schools after weeks corona closure started this week, holding renée tempers of her children at home. Noraa (5), and aj (9) can not go to ..."
leerkrachten merken: 'corona-onderwijs' heeft naast nadelen ook voordelen,de eerste lesweek sinds de uitbraak van het coronavirus zit erop. de basisscholen beten het spits af met succes. volgens de algemene vereniging ...,2020-05-15,Brands teachers 'corona education' next cons has benefits,the first week since the outbreak of coronavirus is over. the primary bites the ball rolling with success. according to the general association ...
zeeuwen hebben meer angst en stres door corona,meer dan de helft van de zeeuwen zegt vertrouwen te hebben in de maatregelen. ze denken dat vooral het regelmatig wassen van de handen en het ...,2020-05-15,Zealanders have more anxiety and stress by corona,more than half of the Zealanders say they have confidence in the measures. they think especially frequent washing of hands and ...
sinds woensdag twee haarlemmers overleden aan gevolgen corona,regio sinds onze laatste update afgelopen woensdag zijn er twee patiënten uit haarlem overleden aan de gevolgen van corona. sinds de uitbraak van de ...,2020-05-15,"Since Wednesday, two Haarlem deceased to effect corona","region since our last update Wednesday, two patients from Haarlem deceased to the effects of corona. Since the outbreak of the ..."
nertsenbedrijf vormt geen risico verspreiding corona,"met corona besmette nertsenhouderijen vormen geen risico voor verdere verspreiding van het virus onder mensen, dat concludeert het rivm. uit voorzorg ...",2020-05-15,mink company does not risk spreading corona,"corona infected mink farms pose no risk for further spread of the virus among humans, which concludes rivm. out of precaution ..."
aantal boetes corona-virus beperkt,nijkerk in nijkerk zijn toen nu toe vijf boetes uitgedeeld voor overtredingen rond de corona-regels. het gaat dan vooral om mensen die aanwezig waren op ...,2020-05-15,number of fines corona virus limited,nijkerk in nijkerk are having now been distributed to five penalties for violations around the corona rules. it is mainly about people who attended ...
twee maanden corona: 1270 doden meer dan verwacht,in limburg stierven de eerste twee maanden van de corona-epidemie bijna 1300 mensen meer dan normaal in die periode. de limburgse oversterfte is ...,2020-05-15,two months corona 1270 killed more than expected,"Limburg died in the first two months of the corona epidemic almost 1,300 people more than usual in that period. the Limburg on mortality ..."
onvervulde kinderwens: door corona duurt het nóg langer,voor wie een kinderwens heeft telt elke maand. duizenden vrouwen kregen in de afgelopen weken de frustrerende mededeling dat hun ...,2020-05-15,unfulfilled desire to have children: corona takes even longer,For those who have children count each month. thousands of women were given the frustrating communication in recent weeks that their ...
bijna alle bewoners van cypressenhof in enschede besmet met corona: 'wij zitten er nog middenin',enschede - van de 25 ouderen met dementie die op de cypressenhof in enschede wonen heeft het merendeel corona. ook een groot deel van het ...,2020-05-15,"almost all residents of cypressenhof in Enschede infected with coronavirus, ""we are still middle '",sheath - 25 of the elderly people with dementia who has most to the corona cypressenhof in the sheath housing. a large part of the ...
liveblog | hond en katten besmet met corona,"dit is ons liveblog over het coronavirus. hier melden we alle ontwikkelingen rond het virus, in gelderland en wat verder belangrijk is om te weten voor jou.",2020-05-15,Live Blog | dogs and cats infected with coronavirus,"this is our live blog of the coronavirus. Here we report any developments surrounding the virus, in Gelderland and whatever else is important to know you."
onderzoek: huiskat kan andere katten besmetten met corona,wereldwijd zijn er gevallen bekend van huiskatten die ziek worden van het coronavirus. vaak zijn ze besmet omdat het baasje ook ziek is. maar uit een ...,2020-05-15,Research: cat can infect other cats with corona,"Worldwide, there are cases of domestic cats that are sick of the coronavirus. often they are infected because the boss is also sick. but a ..."
irma en anne testen mensen op corona in zelhem: 'ik ben niet bang om het te krijgen',zelhem - twee achterhoekse ggd'ers werken in de vuurlinie als het gaat om de strijd tegen corona. irma thus staat enkele dagen per week in de teststraat in ...,2020-05-15,"Irma and anne test people on corona in zelhem: ""I'm not afraid to get it '",zelhem - two Achterhoek ggd'ers working in the front line when it comes to the fight against corona. Irma osmanthus is a few days a week in the test street in ...
interesse van grote farmaceuten in nederlandse vondst tegen corona-infectie,het belang van een nederlands onderzoek naar een antilichaam tegen het coronavirus wordt steeds duidelijker. inmiddels zijn grote farmaceuten ...,2020-05-15,interest from Big Pharma in Dutch discovery against coronavirus infection,the importance of a Dutch research on an antibody to the coronavirus is becoming increasingly apparent. now his big pharma ...
"bijna alle bewoners van cypressenhof besmet met corona: 'iedereen denkt dat het rustig wordt, maar wij zitten er middenin'",enschede - van de 25 ouderen met dementie die op de cypressenhof in enschede wonen heeft het merendeel corona. ook een groot deel van het ...,2020-05-15,"almost all residents of cypressenhof infected with coronavirus, ""everyone thinks that it is quiet, but we are in it '",sheath - 25 of the elderly people with dementia who has most to the corona cypressenhof in the sheath housing. a large part of the ...
rechter: private equity mag corona niet gebruiken om onder deal uit te komen,"een private-equityhuis heeft in nederland geprobeerd om met corona als excuus onder een overname uit te komen, maar heeft bij de rechter het deksel op de ...",2020-05-15,Judge: private equity corona may not use it to get out under deal,"a private equity house Netherlands tried to come out to corona as an excuse under an acquisition, but at the right lid on ..."
corona noopt staphorster rijschoolhouder lucas bisschop na 47 jaar te stoppen,"hij legde 4,5 miljoen kilometer af en leidde duizenden leerlingen op tot automobilisten, vrachtwagenchauffeurs en motorrijders. nu is het voorbij. lucas ...",2020-05-15,corona requires Staphorster driverschool lucas bishop after 47 years to quit,"He traveled 4.5 million kilometers and led thousands of students to motorists, truck drivers and motorcyclists. now it's over. lucas ..."
corona | 'partnertoets bij nieuwe steun voor zzp'er',zzp'ers kunnen met ingang van juni alleen overheidssteun aanvragen als zij niet kunnen terugvallen op het inkomen van een partner.,2020-05-15,corona | 'Key partner in new aid for self-employed',freelancers can apply for aid only as of June if they can not rely on the income of a partner.
'omzetverlies door corona zeker €45 miljard' | financieel | telegraaf.nl,"bedrijven die een beroep doen op de now-regeling van de overheid, hebben in totaal zo'n €45 miljard aan omzetdalingen opgegeven. groothandels, winkels ...",2020-05-15,'Revenue loss by corona least € 45 billion' | financial | telegraaf.nl,"Companies that rely on now control the government, have in total given some € 45 billion in revenue declines. wholesalers, shops ..."
podcast corona in brabant | eindelijk naar de kapper,"op onze site en app kun je niet alleen al het coronanieuws lezen en zien, je kunt er ook naar luisteren. verslaggevers floyd aanen en rob aarts praten je ...",2020-05-15,podcast corona in london | finally at the hairdresser,"you can not only read all the corona news on our website and app and see, you can also listen to. reporters floyd ofand arch and rob you talk ..."
moet maastricht terug willen naar de drukte van vóór corona?,van het ene moment op het andere was het vrijthof in maastricht in zijn volle glorie te bewonderen. die absolute stilte in het centrum: voor de ene binnens...,2020-05-15,MAASTRICHT must return to the crowds before corona?,from one moment to another was Vrijthof be admired in its full glory. which absolute silence in the center: the one for indoors ...
"jong, superfit en toch ziek: 'ook jongeren krijgen corona'","ze is hartstikke jong, fit en ze was kerngezond. dana erra (24) uit middelburg kreeg, vlak na de start van de lockdown, corona. vier weken lag ze op bed en nog ...",2020-05-15,"young, super fit and still sick, ""also have youth corona '","she's awfully young, fit and she was healthy. Dana erra (24) received from middelburg, just after the start of the lockdown, corona. four weeks she lay in bed and ..."
informatiebeveiliging bij accountantskantoren onder druk door corona,"financiële ondernemingen en accountantsorganisaties lopen sinds het uitbreken van de coronacrisis meer risico's op het gebied van informatiebeveiliging, ...",2020-05-15,Information on accounting firms under pressure by corona,"financial firms and audit firms run since the outbreak of the crisis corona more risks in terms of information, ..."
helft twentenaren beweegt minder door corona en afstand houden is lastig,ruim de helft van de twentenaren beweegt en sport veel minder dan voor de coronacrisis. bijna een kwart voelt zich eenzamer. dat blijkt uit de eerste peiling ...,2020-05-15,Half Twente match moves less by keeping corona and distance is tricky,moves over half of the match Twente and sports much less than the corona crisis. almost a quarter feel lonelier. it appears from the first survey ...
benny shallow treedt door corona buiten op bij zorginstellingen in zuid-limburg,zanger en accordeonist benny shallow montert elke maand bewoners van verzorgingstehuizen en zorginstellingen op met gezellige zang en muziek. buiten ...,2020-05-15,benny shallow occurs by corona outside of healthcare institutions in South Limburg,singer and accordionist benny shallow cheers monthly nursing home residents and health care institutions with lively singing and music. Outside ...
tekenen van herstel van chinese industrie na corona,de chinese industrie lijkt op te krabbelen van de zware klap door de coronacrisis. maar onder chinese consumenten en investeerders is de stemming nog ...,2020-05-15,signs of recovery of Chinese industry after corona,the Chinese industry seems to emerge from the heavy blow by the corona crisis. but among Chinese consumers and investors is the mood yet ...
'geen tijdige zorg voor 200.000 hartpatiënten door corona',zo'n 200.000 hartpatiënten in nederland hebben door de corona-uitbraak geen tijdige zorg gekregen. dit leidt bij tienduizenden hart- en vaatpatiënten tot ...,2020-05-15,"""No timely care for 200,000 heart patients by corona '","200,000 heart patients in the Netherlands have been given by the corona outbreak not timely care. This leads to tens of thousands of cardiovascular patients to ..."
antoni van leeuwenhoek hoopt immuuncellen tegen corona in te zetten,het antoni van leeuwenhoek (avl) aast op een doorbraak in het verkrijgen van immuniteit tegen het coronavirus en daarmee ook op hulp bij de ontwikkeling va ...,2020-05-15,Antoni van Leeuwenhoek hopes immune cells from corona to deploy,the Antoni van Leeuwenhoek (AVL) preys on a breakthrough in gaining immunity against the coronavirus and thus to assist in the development of ...
kerkdienst niet oorzaak van corona in verpleeghuis sommelsdijk,een kerkdienst in woon-zorgcomplex nieuw rijsenburgh in sommelsdijk vormde niet dé bron voor de uitbraak van het coronavirus onder de bewoners.,2020-05-15,service not cause corona in nursing Sommelsdijk,a church service was in residential care in new rijsenburgh Sommelsdijk not your source for the outbreak of coronavirus among residents.
corona maakt leven acteur nick cordero tot een hel,"broadway-ster nick cordero vecht al sinds eind maart in het ziekenhuis voor zijn leven. de 41-jarige canadees raakte besmet met het coronavirus, met als ...",2020-05-15,Corona makes life actor Nick Cordero to hell,"broadway star Nick Cordero has been fighting since the end of March in the hospital for his life. The 41-year-old Canadian became infected with the coronavirus, with ..."
corona groningen,bij een ruime meerderheid van de groningers had de coronacrisis vorige maand nog weinig negatief effect op werk en inkomen. maar het sociale leven in de ...,2020-05-15,corona Groningen,by a large majority of Groningen Corona crisis last month had little negative effect on employment and income. but the social life in the ...
corona zorgt voor een psychosepiek,psychiatrische centra zien het aantal patiënten met ernstige psychoses aanzienlijk stijgen sinds de komst van het coronavirus. een jaar lang zullen ...,2020-05-15,corona creates a psychosis peak,psychiatric centers show the number of patients with severe psychoses rise significantly since the advent of the coronavirus. a year will be long ...
"'corona én geen subsidie, dat is een dubbele mokerslag'","'we worden helemaal platgebeld. ook met de vraag hoe laat het loket maandag opengaat”, zegt henriëtte post, directeur van het fonds podiumkunsten.",2020-05-15,"'Corona and no subsidy, which is a double hammer blow'","""We are completely flat called. also asking what time the ticket office opens Monday, ""said Henriette post, director of the fund performing arts."
hoe scoren de sterke leiders in de corona-hitparade?,"trump, bolsonaro en poetin regeren over landen waar het virus numeriek het hardst toeslaat, aldus hubert smeets. dit stemt hen niet tot nederigheid. begin…",2020-05-15,how to score the strong leaders in the corona charts?,"Trump, Bolsonaro and Putin rule over countries where the virus numerical hardest strikes, says Hubert Smeets. this did not cause for humility. get started…"
steeds meer bedrijven richten zich op corona-producten,"mondkapjes, spatschermen, afscheidingen voor horeca. limburgse bedrijven zien mogelijkheden om ook tijdens de coronacrisis geld te verdienen. daarvoor is ...",2020-05-15,more and more companies focus on corona products,"masks, mudguards, secretions for hospitality. Limburg companies see opportunities to make money during the crisis corona. is therefor ..."
"oversterfte toont aan: belgië is zwaar getroffen door coronavirus, maar in groot-brittannië is de toestand nog veel erger",de oversterfte – grotendeels als gevolg van de corona-epidemie – is in groot-brittannië en spanje relatief gezien hoger dan in ons land. maar het neemt nie...,2020-05-15,"mortality shows: Belgium has been hit hard by coronavirus, but in Britain the situation is much worse",The excess mortality - largely due to the corona epidemic - is in Britain and Spain relatively higher than in our country. but it does not ...
avondgasten: corona in limburg - het zwaar getroffen kessel,in deze uitzending om 18:00 (met herhalingen om 19:00 en 21:00) gaat het over het zwaar getroffen kessel.,2020-05-15,evening Rating: Corona in Limburg - the severely affected kessel,"in this broadcast at 18:00 (with repeats at 19:00 and 21:00), it is about severely affected kessel."
teststraat voor corona op voormalig terrein van herling strijdhorst aan oostergouw in zwaag,de nieuwe coronatestlocatie van ggd hollands noorden komt in zwaag op het voormalig terrein van herling strijdhorst. de west-friese testlocatie zal vanaf e...,2020-05-15,Test Lane for corona on the former site of Horst Herling struggle to east shire in zwaag,The new coronavirus test location ggd dutch North enters zwaag on the former site of struggle Herling horst. the West Frisian test site will be from a ...
garrie van pinxteren: china in tijden van corona: leugenaar of leider?,hoe is het om te leven en te werken in het assertieve china van president xi jinping? correspondent garrie van pinxteren vertelt in nrc live thuis op…,2020-05-15,Garrie of Pinxteren: China in times of corona: liar or leader?,How is it to live and work in the assertive China President Xi Jinping? correspondent Garrie of Pinxteren tells NRC live at home ...
,0,2020-05-15,,0
corona: steunpakket van 200 miljoen euro voor vertraagde studenten,"het kabinet trekt 200 miljoen euro uit om studenten in de coronacrisis tegemoet te komen. dat is zojuist besloten in de ministerraad. het gaat om mbo-, hbo- en.",2020-05-15,corona: aid package of 200 million euros for delayed students,"The government attracts 200 million to meet students in the corona crisis. that's just decided in the Cabinet. it is MBO, HBO and."
veilig winkelen in assen met gastdames en looproutes vanwege corona,in assen doet binnenstadsvereniging vaart in assen (via) morgen een proef met veilig winkelen in coronatijd. in twee drukke winkelstraten komen stickers op ...,2020-05-15,Safe shopping axles guest ladies and walkways for corona,in downtown association does axes momentum axes (via) a test tomorrow with safe shopping corona time. two busy shopping stickers come on ...
corona treft opmeer het minst - noordhollandsdagblad,het coronavirus heeft voor zover bekend in de gemeente opmeer tot dusverre één dodelijk slachtoffer geëist. ook het totaalaantal coronabesmettingen ligt hi...,2020-05-15,corona affects opmeer least - Noordhollands Dagblad,coronavirus has demanded far as is known in the church opmeer hitherto one fatality. Also the total coronavirus infections is hi ...
design tijdens corona designers moeten opnieuw leren presenteren,"marketingtribune in gesprek met loe limpens, co-founder and; managing partner yellow dress retail, over de gevolgen van de coronacrisis voor zijn bureau.",2020-05-15,design during corona designers must learn to present again,"marketing stand talking to loe limpens, co-founder and; managing partner yellow dress retail, the effects of the corona crisis on his desk."
corona in duitsland - 15 mei: nrw schaft quarantaine-regel af,de aan nederland grenzende deelstaat noordrijn-westfalen (nrw) heeft de quarantaine-plicht per direct afgeschaft voor mensen die uit eu-landen het land ...,2020-05-15,corona in duitsland - 15 mei: nrw economy quarantaine-rule-af,in the Netherlands bordering state North Rhine-Westphalia (NRW) quarantine duty immediately abolished for people who land-EU countries ...
corona-hulp kweker: overtollige horeca-oesterzwammen…,"kwekers, telers en boeren die normaal gesproken leveren aan horeca, groothandels, evenementen of pretparken staan voor een uitdaging. de vraag is zo ...",2020-05-15,corona help growers: excess catering oyster ...,"breeders, growers and farmers who normally supply to restaurants, wholesalers, events or theme parks face a challenge. demand is so ..."
peiling: vvd groeit naar 43 zetels door corona-aanpak,"kiezers waarderen de corona-aanpak van het kabinet en dat levert vooral de grootste coalitiepartij vvd steun op, blijkt uit de jongste peiling van iand;o research.",2020-05-15,Poll: VVD grows to 43 seats by corona approach,"voters appreciate the corona approach of the government and which mainly supplies the largest coalition party VVD support, according to the latest poll by iand o research."
corona vergroot financiële nood van gemeenten in limburg,gemeenten in limburg willen snel duidelijkheid over de financiële compensatie die ze van het rijk kunnen verwachten. de coronacrisis leidt niet alleen tot ...,2020-05-15,corona increased financial needs of municipalities in Limburg,Limburg municipalities to quickly clarify the financial compensation they can expect from the empire. Corona crisis not only leads to ...
diëtistische benadering bij revalidatie na corona nodig,meer zorguren en vergoeding nodig voor langdurige begeleiding van ex-covid-19 patiënten. voor herstel en revalidatie van covid-19 patiënten is in veel ...,2020-05-15,dietetic approach to rehabilitation after corona needed,more hours of care and compensation necessary for long-term guidance of ex-covid 19 patients. recovery and rehabilitation of covid-19 patients in many ...
corona | bankensteun bedrijven loopt op tot € 11 miljard,sinds het uitbreken van de coronacrisis hebben nederlandse banken in aanvulling op het steunpakket van de overheid bijna € 11 miljard steun gegeven.,2020-05-15,corona | Bank support companies rises to € 11 billion,Since the outbreak of the crisis corona Dutch banks in addition to the aid package of almost € 11 billion the government supported.
relatief weinig extra doden door corona in duitsland,het aantal extra doden door het coronavirus is in duitsland relatief gering. volgens cijfers stierven gemiddeld 8 procent mensen meer dan gebruikelijk in een ...,2020-05-15,relatively few additional deaths corona in Germany,the number of additional deaths from the coronavirus in Germany is relatively low. according to figures died on average 8 percent more people than usual in a ...
"vandaag drie schiedammers met corona opgenomen, landelijk meer doden en ziekenhuisopnames","vandaag zijn er bij het rivm 53 nederlanders als overleden door het coronavirus gemeld. dat is meer dan gisteren, toen waren er 28 doden te betreuren....",2020-05-15,"Today three Rayleigh numbers included corona, nationwide more deaths and hospitalizations","Today there are at rivm 53 Dutch deceased as reported by the coronavirus. that's more than yesterday, when there were 28 people were killed ...."
"corona: de nieuwe regels vanaf 18 mei, in eenvoudige taal",de maatregelen worden vanaf 18 mei wat minder streng. we geven een overzicht in eenvoudig en helder nederlands.,2020-05-15,"Corona: new rules from May 18, in simple language",the measures from May 18 less strict. we outline in simple and clear Dutch.
ecm europe in gemert verpakt miljoenen corona-teststaafjes,"gemert - het verpakken van 2,8 miljoen corona-teststaafjes levert het gemertse bedrijf ecm europe extra werk op. de neusswabs zijn nodig om de komende ...",2020-05-15,ECM europe wrapped in gemert millions corona test strips,gemert - packing 2.8 million corona test strips provides the Gemertse company ECM europe extra work. The nasal swabs are needed in the next ...
echte christenen hebben schijt aan corona,"moeten kerken zich streng houden aan de richtlijnen van het rivm, of hoeven ze niet het braafste jongentje van de klas te zijn?",2020-05-15,true Christians have shit on corona,"Churches must strictly adhere to the guidelines of the rivm, or do they not being the best boy in the class?"
duofietsen met tussenscherm corona-proof de weg op,"de fietsmaatjes fietsen weer! nadat fietsmaatjes alphen aan den rijn, net als heel veel organisaties, sinds half maart haar activiteiten vanwege de corona crisis ...",2020-05-15,duofietsen with corona-proof screen between the road,"bike cycling buddies again! After cycling buddies Alphen aan den Rijn, like many organizations, since mid-March its activities due to the crisis corona ..."
nieuws - promesse vol dranghekken door corona,"in het centrum van lelystad liggen delen van winkelgebied de promesse al geruime tijd open. de promesse werd opnieuw bestraat, maar dit kwam door de ...",2020-05-15,News - promissory note full of crowd barriers corona,"in the center of Lelystad are shopping parts of the promissory note open for some time. The promissory note was repaved, but this was due to the ..."
wos.nl - kleine culturele instellingen in de knoei door corona,"kleine westlandse cultuurinstellingen maken zich grote zorgen over hun toekomst, blijkt uit een enquête van westland cultuurweb.",2020-05-15,wos.nl - small cultural institutions in trouble by corona,"Westland small cultural organizations are very worried about their future, according to a survey of culture, of Westland."
'zelf werknemers testen op corona is zinloos',bij de werkgeverslijn land- en tuinbouw komen vragen binnen of het zinvol is om werknemers zelf te gaan testen met zogenoemde corona-sneltesten. tijdens ...,2020-05-15,Self test employees corona is useless',among employers line agricultural and horticultural questions come in whether it makes sense to test employees themselves with so-called corona rapid tests. while ...
boekverkoop usa: groei ondanks corona of groei dankzij corona - inct,"de verkoop van fysieke boeken in de usa groeit ondanks, of moeten we juist zeggen dankzij, de corona crisis. de verkoop stijgt met de week en overtreft ook de ...",2020-05-15,book sales usa: growth despite thanks corona corona or growth - InCT,"sales of physical books in the USA is growing despite, or should we just say thanks, the corona crisis. sales increasing by the week and also surpasses the ..."
hotel de roskam in rheden sluit voorgoed zijn deuren: 'zonder corona misschien nog even doorgegaan',arnhem - de international hotel management group uit utrecht heeft de deuren van hotel de roskam en het bijbehorende restaurant grand bistro 1688 ...,2020-05-15,"hotel in the curry comb rheden closes its doors for good, ""without corona maybe just gone '","Arnhem - the international hotel management group in Utrecht, the doors of the hotel and its restaurant curry comb grand bistro in 1688 ..."
bij ons in het dorp is corona niets bijzonders,het gezin van sofie govaert uit breda raakte besmet met het coronavirus. ze houdt voor trouw een dagboek bij.,2020-05-15,in our village is nothing special corona,the family of micheal govaert from Breda became infected with the coronavirus. she keeps a diary of loyalty to.
liveblog corona 15 mei,in dit liveblog houdt binnenlands bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …,2020-05-15,live blog corona 15 not,In this live blog keeps local government a chronological record of the latest addition to the regular reporting on the ...
bah! dokter stuurt spuugzieke corona-patiënt huiswaarts: 'bel maar als je niet meer van bank naar wc kan lopen!',"een schrijnend verhaal van een oud-kamerlid, dat vertelt ...",2020-05-15,"Bah! Doctor sends spit sick corona patient home 'call but if you can not run from bank to toilet! ""","a poignant story of a former MP, telling ..."
'geringe krimp bij vastgoedbeleggingen ondanks corona',"de markt voor vastgoedinvesteringen laat dit jaar waarschijnlijk slechts een geringe krimp zien, ondanks de coronacrisis.",2020-05-15,'Slight contraction in investment despite corona',The market for property investment shows likely see only a slight decline this year despite the crisis corona.
verdriet in het door corona getroffen klooster bijdorp: 'stuur een kaartje als teken van verbondenheid',"stuur een kaartje als teken van verbondenheid naar de zusters, broeders en burgerbewoners van huize bijdorp in voorschoten. het liefst een kaartje met een ...",2020-05-15,"sorrow in the monastery Bijdorp affected by corona ""send a card as a sign of solidarity '","send a postcard as a sign of belonging to the sisters, brothers and civilian residents of the house in Bijdorp aprons. preferably a card with a ..."
dodental door corona in vk neemt met 384 toe,het aantal mensen dat in het verenigd koninkrijk is overleden na positief te zijn getest op covid-19 is met 384 toegenomen tot 33.998. dat heeft het britse ...,2020-05-15,deaths by corona in c increases to 384,the number of people deceased after being tested positive in the UK on covid-19 is increased to 33 998 384. that the British ...
corona in rotterdam: zoveel besmettingen zijn er geregistreerd,wekelijks houden wij bij hoeveel mensen in rotterdam besmet zijn geraakt met corona. dit doen we met de laatste info van het rivm.,2020-05-15,corona in Rotterdam as many infections were recorded,every week we track how many people have been infected with coronavirus in Rotterdam. We do this with the latest info from the rivm.
nieuws - zwemlessen corona-proof van start,de zwemlessen voor kinderen zijn deze week weer begonnen bij van rheenen sport in almere. natuurlijk vanwege de coronacrisis in aangepast vorm.,2020-05-15,News - swimming lessons corona proof launched,"swimming lessons for children this week started at rheenen of sport in Almere. of course, because of the corona crisis in adapted form."
corona | 'de echte klap komt na de zomer',brancheverenigingen in de bouwwereld vragen minister koolmees (sociale zaken) om de invoering van een deel-now en een omscholings-now vanaf ...,2020-05-15,"corona | ""The real blow comes after the summer '",associations in the construction industry minister questions tit (Social Affairs) for the introduction of part-now-now and retraining from ...
webinar, corona crisis: dit wist je nog niet over de impact van het coronaviruswaarschijnlijk stroomt je mailbox over van nieuws en inzichten rond het coronavirus. onderzoekspublicaties volgen elkaar in rap tempo op. zelf dragen we ...,2020-05-15,webinar,corona crisis that you did not know about the impact of the coronavirus probably flows email about news and insights on the coronavirus. research publications follow each other in rapid succession. itself we carry ...
wetenschappers onderzoeken of mensen nepnieuws corona geloven,"wetenschappers onderzoeken in hoeverre mensen nepnieuws over het coronavirus geloven. het onderzoek, truth genaamd, wordt geleid en ook ...",2020-05-15,Scientists investigate whether people believe fake news corona,"Scientists investigate whether people believe fake news about the coronavirus. The study, called truth, is directed and also ..."
corona | 'crisis vergroot witwasrisico',"door de coronacrisis zijn bedrijven vooral druk met overleven. dat maakt ze een makkelijker prooi voor witwassen, waarschuwt erasmus-hoogleraar en ...",2020-05-15,corona | 'Crisis increases risk of money laundering',"the corona crisis, companies are especially busy surviving. that makes them an easier prey for laundering, Erasmus professor warns it ..."
vakantie in eigen land door corona,de zomer staat voor de deur en er zijn al veel vakantieplannen gemaakt. helaas gooit het coronavirus voor veel nederlanders roet in het eten als het gaat om ...,2020-05-15,holiday at home corona,Summer is upon us and there are already many vacation plans. Unfortunately throws coronavirus many Dutch spanner in the works when it comes to ...
tientallen scholen gaan 'm uitvoeren: corona de musical met rappende rutte en doventolk irma,"de coronacrisis is nog niet voorbij, maar nu al onderwerp van een musical. tientallen scholen gaan hun corona de musical uitvoeren met groep 8. want wie wil ...",2020-05-15,dozens of schools have him perform: the corona musical with rapping rutte and interpreter Irma,"Corona crisis is not over yet, but already the subject of a musical. dozens of schools go their corona perform with the musical group 8. For those who want ..."
100 miljoen voor beademingsapparaten; duizenden systemen voor mogelijke tweede corona-golf,best - 100 miljoen euro heeft nederland in een paar weken tijd uitgegeven aan beademingsapparaten die voorlopig nog niet worden gebruikt.,2020-05-15,100 million for respirators; thousands of systems possible second wave corona,best - 100 million euros Netherlands issued in a few weeks time on ventilators which are not available for use.
